,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,New Norfolk,-42.7826,147.0587,289.15,82,90,2.06,AU,1615479722
118,Nakhon Thai,17.1006,100.8374,307.04,57,62,1.32,TH,1615479724
119,Castro,-24.7911,-50.0119,297.96,55,3,4.05,BR,1615479725
120,Tasiilaq,65.6145,-37.6368,267.15,63,75,0.91,GL,1615479727
121,Grand-Santi,4.25,-54.3833,300.77,88,40,2.01,GF,1615479728
122,Puerto Escondido,15.85,-97.0667,302.15,79,1,1.94,MX,1615479730
123,Cabo San Lucas,22.8909,-109.9124,296.48,43,40,2.06,MX,1615479731
124,Codrington,-38.2667,141.9667,285.99,90,32,1.13,AU,1615479733
125,Binzhou,37.3667,118.0167,281.48,72,0,2.17,CN,1615479734
126,San Patricio,28.017,-97.5169,297.04,78,90,9.77,US,1615479736
127,Sines Municipality,37.9562,-8.8698,288.71,79,70,2.68,PT,1615479737
128,Khilok,51.3674,110.4676,268.93,85,0,1.94,RU,1615479739
129,Ubari,26.5921,12.7805,298.78,28,100,10.86,LY,1615479740
130,General Roca,-39.0333,-67.5833,295.15,33,0,5.66,AR,1615479742
131,Upernavik,72.7868,-56.1549,259.1,82,94,1.79,GL,1615479743
132,Quatre Cocos,-20.2078,57.7625,300.37,78,75,4.63,MU,1615479744
133,Bokoro,12.3807,17.0568,313.94,5,100,1.94,TD,1615479746
134,Hamilton,39.1834,-84.5333,291.15,55,90,10.29,US,1615479605
135,Eidsvåg,62.7767,8.0668,279.15,42,40,5.14,NO,1615479749
136,Hilo,19.7297,-155.09,292.59,88,75,0.73,US,1615479605
137,Ust-Tsilma,65.441,52.1498,259.68,88,100,3.09,RU,1615479556
138,Takoradze,4.8845,-1.7554,302.29,73,93,5.86,GH,1615479753
139,Saint George,37.1041,-113.5841,280.37,65,1,1.54,US,1615479754
140,Saint-Augustin,51.226,-58.6502,274.73,99,98,4.09,CA,1615479756
141,Kahului,20.8947,-156.47,292.59,88,40,1.54,US,1615479686
142,Mocuba,-16.8392,36.9856,297.9,95,84,2.36,MZ,1615479758
143,Roebourne,-20.7833,117.1333,303.63,62,86,2.79,AU,1615479760
144,Howard Springs,-12.497,131.047,299.15,94,100,2.06,AU,1615479761
145,Saint-Philippe,-21.3585,55.7679,299.15,65,0,6.17,RE,1615479763
146,Port Macquarie,-31.4333,152.9167,293.15,94,68,3.09,AU,1615479764
147,Lüderitz,-26.6481,15.1594,295.31,75,0,7.97,NA,1615479766
148,Chumphon,10.3333,98.8333,294.39,96,2,1.01,TH,1615479767
149,Magadan,59.5667,150.8,255.02,87,100,1.73,RU,1615479769
150,Iqaluit,63.7506,-68.5145,248.15,64,40,2.06,CA,1615479770
151,Pokrovskoye,47.4157,38.8971,267.59,53,100,8.05,RU,1615479772
152,São Félix do Xingu,-6.6447,-51.995,300.16,74,100,1.7,BR,1615479773
153,Lengshuijiang,27.6881,111.4294,284.87,92,64,0.6,CN,1615479775
154,Kapaa,22.0752,-159.319,294.26,94,75,4.12,US,1615479776
155,Yaan,7.3833,8.5667,310.25,30,35,3.73,NG,1615479777
156,Narsaq,60.9167,-46.05,269.15,54,75,1.03,GL,1615479779
157,Chui,-33.6971,-53.4616,298.87,45,81,1.15,UY,1615479780
158,Wanaka,-44.7,169.15,283.78,89,60,0.24,NZ,1615479782
159,Hobyo,5.3505,48.5268,299.84,77,0,6.17,SO,1615479783
160,Mauá,-23.6678,-46.4614,303.71,54,29,2.68,BR,1615479678
161,Longyearbyen,78.2186,15.6401,264.15,67,40,5.66,SJ,1615479786
162,Ucluelet,48.9329,-125.5528,275.37,100,75,2.05,CA,1615479740
163,Tura,25.5198,90.2201,295.62,41,0,1.26,IN,1615479789
164,Bariloche,-41.1456,-71.3082,286.15,58,40,11.32,AR,1615479790
165,Ishigaki,24.3448,124.1572,295.14,81,4,5.21,JP,1615479792
166,Port Blair,11.6667,92.75,300.27,76,0,3.67,IN,1615479793
167,Caravelas,-17.7125,-39.2481,302.88,56,0,5.27,BR,1615479795
168,Bethel,41.3712,-73.414,289.15,44,1,5.14,US,1615479543
169,Saint Paul Harbor,57.79,-152.4072,265.15,45,1,16.46,US,1615479798
170,Jaru,-10.4389,-62.4664,299.66,82,100,1.45,BR,1615479799
171,Tete,-16.1564,33.5867,305.93,62,40,5.14,MZ,1615479800
172,Lompoc,34.6391,-120.4579,282.04,87,1,3.09,US,1615479802
173,Escárcega,18.6089,-90.7454,301.6,51,3,3.1,MX,1615479803
174,Road Town,18.4167,-64.6167,301.15,61,40,5.14,VG,1615479640
175,Santiago de Cali,3.4372,-76.5225,294.15,94,90,1.03,CO,1615479652
176,Arraial do Cabo,-22.9661,-42.0278,303.15,65,40,4.63,BR,1615479807
177,Roberval,48.5168,-72.2324,280.15,70,90,5.66,CA,1615479809
178,San Felipe,10.3399,-68.7425,300.2,67,79,3.52,VE,1615479810
179,Tangjiazhuang,39.7333,118.45,282.39,65,36,1.38,CN,1615479812
180,College,64.8569,-147.8028,255.37,60,90,8.75,US,1615479813
181,São João da Barra,-21.6403,-41.0511,303.15,62,40,2.06,BR,1615479807
182,George Town,5.4112,100.3354,300.93,74,20,1.03,MY,1615479816
183,Singkang,2.1006,102.7994,299.15,83,20,2.06,MY,1615479817
184,Tsaratanana,-16.7833,47.65,297.67,88,35,1.77,MG,1615479819
185,Kilimatinde,-5.85,34.95,295.67,67,1,1.11,TZ,1615479820
186,Gazli,40.1333,63.45,284.12,31,5,5.25,UZ,1615479822
187,Ribeira Grande,38.5167,-28.7,290.15,72,75,2.57,PT,1615479823
188,Lavrentiya,65.5833,-171.0,247.36,69,0,2.89,RU,1615479825
189,Buala,-8.145,159.5921,299.07,84,92,2.94,SB,1615479826
190,Kalach-na-Donu,48.691,43.5264,260.93,66,0,3.0,RU,1615479828
191,Mulegé,26.8833,-111.9833,289.77,46,100,4.15,MX,1615479830
192,Terme,41.2092,36.9739,278.15,87,75,5.14,TR,1615479831
193,Sicuani,-14.2694,-71.2261,287.35,45,11,2.02,PE,1615479833
194,Nzega,-2.479,29.5564,290.22,80,86,0.72,RW,1615479834
195,Araranguá,-28.9347,-49.4858,297.59,55,0,3.98,BR,1615479727
196,Waingapu,-9.6567,120.2641,298.68,84,92,2.39,ID,1615479837
197,San,13.3034,-4.8956,311.08,9,0,5.22,ML,1615479838
198,Biłgoraj,50.5411,22.722,277.04,58,100,2.68,PL,1615479840
199,Bowen,-20.0167,148.2333,296.15,88,40,2.06,AU,1615479841
200,Alofi,-19.0595,-169.9187,292.15,100,98,1.56,NU,1615479843
201,Paita,-5.0892,-81.1144,302.15,70,0,4.63,PE,1615479844
202,Lafiagi,8.8667,5.4167,313.43,20,100,2.97,NG,1615479846
203,Bambous Virieux,-20.3428,57.7575,300.15,78,75,4.63,MU,1615479847
204,Kavieng,-2.5744,150.7967,300.77,68,100,2.69,PG,1615479849
205,Paamiut,61.994,-49.6678,266.68,75,100,5.89,GL,1615479850
206,Fort Nelson,58.8053,-122.7002,262.15,57,75,2.06,CA,1615479851
207,Necochea,-38.5473,-58.7368,294.26,48,98,2.24,AR,1615479853
208,Cururupu,-1.8283,-44.8683,305.16,51,100,2.8,BR,1615479855
209,Magistral'nyy,56.1725,107.4458,271.53,88,100,3.0,RU,1615479856
210,Horgeşti,46.4333,27.0667,274.26,60,0,5.66,RO,1615479858
211,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,307.04,30,2,1.79,AR,1615479859
212,Cockburn Town,21.4612,-71.1419,296.15,83,75,7.72,TC,1615479861
213,Wonthaggi,-38.6044,145.5913,290.93,94,85,0.57,AU,1615479862
214,Saldanha,-33.0117,17.9442,295.15,43,100,4.12,ZA,1615479864
215,Kapuskasing,49.4169,-82.4331,269.15,86,100,1.03,CA,1615479865
216,Bonfim,3.0833,-59.95,305.15,55,40,6.17,BR,1615479866
217,Lakselv,70.0513,24.9718,267.15,68,20,17.49,NO,1615479868
218,Palauig,15.435,119.9045,298.8,73,15,2.49,PH,1615479869
219,Porbandar,21.6422,69.6093,297.15,78,0,4.12,IN,1615479846
220,Touros,-5.1989,-35.4608,304.15,55,20,9.26,BR,1615479872
221,Discovery Bay,37.9085,-121.6002,279.26,93,90,3.6,US,1615479873
222,Asău,46.4333,26.4,273.71,49,66,1.58,RO,1615479875
223,Torbay,47.6666,-52.7314,276.48,55,90,14.4,CA,1615479877
224,Cidreira,-30.1811,-50.2056,298.15,59,49,3.18,BR,1615479878
225,Cherskiy,68.75,161.3,246.99,81,11,3.66,RU,1615479880
226,Dawlatabad,36.4141,64.9053,285.06,68,31,4.0,AF,1615479881
227,Antakya,36.2066,36.1572,290.15,63,75,11.32,TR,1615479741
228,Anloga,5.7947,0.8973,304.15,70,20,5.66,GH,1615479884
229,Gamba,-2.65,10.0,301.16,78,100,4.03,GA,1615479885
230,Huilong,31.8111,121.655,284.82,88,97,1.79,CN,1615479887
231,Losinyy,57.1386,61.0666,256.15,55,20,4.0,RU,1615479888
232,Khovd,48.0056,91.6419,272.35,33,100,1.62,MN,1615479890
233,Port Moresby,-9.4431,147.1797,298.15,94,40,3.55,PG,1615479891
234,Okhotsk,59.3833,143.3,254.33,90,100,3.34,RU,1615479893
235,Trivandrum,8.4833,76.9167,301.15,74,40,2.06,IN,1615479894
236,Vila,42.0304,-8.1588,284.26,95,100,3.13,PT,1615479896
237,Vikulovo,56.8167,70.6107,258.18,96,88,2.65,RU,1615479897
238,Tiksi,71.6872,128.8694,250.67,87,100,9.64,RU,1615479899
239,Bontang,0.1333,117.5,300.02,79,96,2.75,ID,1615479900
240,Chortomlyk,47.6232,34.142,271.63,58,33,4.36,UA,1615479902
241,Qinzhou,21.95,108.6167,295.62,85,14,2.59,CN,1615479903
242,Velasco Ibarra,-1.05,-79.6167,297.72,88,100,1.36,EC,1615479905
243,Namatanai,-3.6667,152.4333,299.2,77,72,1.3,PG,1615479906
244,São Filipe,14.8961,-24.4956,294.95,68,99,4.02,CV,1615479908
245,Wiang Sa,8.6359,99.3666,299.15,83,20,0.51,TH,1615479909
246,Naze,28.3667,129.4833,290.8,79,73,9.03,JP,1615479911
247,Padang,-0.9492,100.3543,298.15,94,40,1.03,ID,1615479912
248,São José dos Pinhais,-25.5347,-49.2064,302.04,47,40,5.66,BR,1615479914
249,Kenai,60.5544,-151.2583,265.15,67,90,3.09,US,1615479915
250,Lagoa Santa,-19.6272,-43.8897,300.15,65,40,1.54,BR,1615479917
251,Verkhnyaya Inta,65.9811,60.3094,257.71,94,100,8.48,RU,1615479918
252,Humberto de Campos,-2.5983,-43.4611,303.33,71,99,2.45,BR,1615479920
253,Virginia Beach,36.8529,-75.978,295.15,28,75,6.69,US,1615479890
254,Los Llanos de Aridane,28.6585,-17.9182,294.15,60,20,4.63,ES,1615479922
255,Sillamäe,59.3997,27.7547,269.88,81,71,6.08,EE,1615479924
256,Jinxiang,27.4327,120.6062,287.23,89,2,1.72,CN,1615479926
257,Xiongyue,40.1774,122.1228,277.56,79,100,0.78,CN,1615479927
258,Yumen,40.2833,97.2,280.91,22,99,3.92,CN,1615479929
259,Bhikangaon,21.8667,75.95,302.4,16,13,1.1,IN,1615479930
260,Belmonte,-15.8631,-38.8828,303.15,66,20,1.03,BR,1615479932
261,Starkville,33.4504,-88.8184,294.26,60,1,4.63,US,1615479933
262,Mombaça,-5.7431,-39.6275,307.33,40,66,3.42,BR,1615479935
263,Hualmay,-11.0964,-77.6139,298.77,66,13,4.36,PE,1615479936
264,Chala,-7.5833,31.2667,297.15,50,20,2.06,TZ,1615479938
265,Ancud,-41.8697,-73.8203,291.48,77,75,5.66,CL,1615479939
266,Adeje,28.1227,-16.726,295.15,53,20,10.29,ES,1615479941
267,Solnechnyy,50.7214,136.6319,264.17,88,30,2.2,RU,1615479942
268,Heilbron,-27.2812,27.9709,298.09,22,0,1.32,ZA,1615479944
269,Lagoa,39.05,-27.9833,286.22,67,47,5.38,PT,1615479945
270,Mar del Plata,-38.0023,-57.5575,297.15,73,40,5.66,AR,1615479947
271,Haines Junction,60.7522,-137.5108,268.15,68,59,2.06,CA,1615479948
272,Wau,7.7029,27.9953,308.46,21,79,1.62,SS,1615479727
273,Hirara,24.8,125.2833,294.91,80,0,5.29,JP,1615479951
274,Quang Ngai,15.1167,108.8,294.67,93,4,1.53,VN,1615479953
275,Morondava,-20.2833,44.2833,300.6,68,0,4.61,MG,1615479954
276,Marzuq,14.4,46.4667,293.68,43,0,4.2,YE,1615479955
277,North Platte,41.1239,-100.7654,276.15,70,1,4.12,US,1615479682
278,Vestmannaeyjar,63.4427,-20.2734,276.15,70,0,10.29,IS,1615479958
279,Tocopilla,-22.092,-70.1979,296.45,71,3,2.27,CL,1615479960
280,Katsuura,35.1333,140.3,285.37,82,75,2.57,JP,1615479961
281,Honiara,-9.4333,159.95,297.69,93,100,1.33,SB,1615479903
282,Pimentel,-6.8367,-79.9342,303.15,54,0,2.57,PE,1615479964
283,Bam,29.106,58.357,292.56,18,0,1.65,IR,1615479966
284,Yankton,42.8711,-97.3973,276.15,81,1,6.17,US,1615479967
285,Alyangula,-13.8483,136.4192,297.15,100,57,3.5,AU,1615479969
286,Klaksvík,62.2266,-6.589,278.15,87,40,3.6,FO,1615479970
287,Pangai,-19.8,-174.35,298.9,63,0,4.37,TO,1615479971
288,Coxim,-18.5067,-54.76,303.99,58,100,1.93,BR,1615479973
289,Lewiston,44.1003,-70.2148,283.15,61,75,3.09,US,1615479974
290,Rāvar,31.2656,56.8055,290.8,23,9,0.77,IR,1615479976
291,Agüimes,27.9054,-15.4461,294.15,49,0,3.09,ES,1615479977
292,Carnarvon,-24.8667,113.6333,299.15,78,1,7.72,AU,1615479979
293,Batagay-Alyta,67.8006,130.4114,245.89,72,100,2.64,RU,1615479980
294,Araouane,18.9048,-3.5265,302.6,13,0,8.45,ML,1615479982
295,Maceió,-9.6658,-35.7353,304.15,55,40,5.14,BR,1615479933
296,Bubaque,11.2833,-15.8333,301.06,48,57,3.87,GW,1615479985
297,Tuatapere,-46.1333,167.6833,279.82,92,72,0.89,NZ,1615479986
298,Lebu,-37.6167,-73.65,289.93,61,13,6.52,CL,1615479988
299,Yelizovo,53.1873,158.3805,270.15,100,40,2.0,RU,1615479989
300,Kuril'sk,45.2333,147.8833,269.15,93,50,3.82,RU,1615479991
301,Nokaneng,-19.6667,22.2667,300.55,47,49,0.61,BW,1615479992
302,Nome,64.5011,-165.4064,242.15,76,1,1.58,US,1615479994
303,Aswān,24.0934,32.907,306.09,10,0,4.52,EG,1615479843
304,San Quintín,30.4833,-115.95,286.36,60,58,1.35,MX,1615479996
305,Watrous,51.6668,-105.4679,259.15,72,0,1.54,CA,1615479998
306,Ardahan,41.1087,42.7022,270.64,96,100,1.27,TR,1615479999
307,Chkalovsk,56.7647,43.2433,265.15,53,0,4.0,RU,1615480001
308,Ahipara,-35.1667,173.1667,288.33,88,2,2.21,NZ,1615480002
309,Aklavik,68.2191,-135.0107,256.15,85,90,12.86,CA,1615480004
310,Carahue,-38.7,-73.1667,290.15,67,20,3.09,CL,1615480005
311,Pisco,-13.7,-76.2167,298.71,88,40,4.63,PE,1615480006
312,Avera,33.194,-82.5271,294.26,49,40,5.14,US,1615480008
313,Bengkulu,-3.8004,102.2655,298.17,87,84,1.19,ID,1615480009
314,Biak,-0.9131,122.8766,298.3,79,64,1.41,ID,1615480011
315,Luancheng,37.8792,114.6517,280.15,87,5,2.0,CN,1615480012
316,Mabaruma,8.2,-59.7833,300.15,83,75,3.09,GY,1615480014
317,Novomichurinsk,54.0384,39.7479,256.09,90,0,2.31,RU,1615479734
318,Aktas,49.7789,72.9608,264.15,79,75,10.0,KZ,1615480016
319,Arroyo de la Encomienda,41.6096,-4.7969,288.15,62,40,8.75,ES,1615480018
320,Picayune,30.5255,-89.6795,297.04,74,0,4.46,US,1615480020
321,Boende,-0.2167,20.8667,306.15,50,63,0.92,CD,1615480021
322,Mojo,8.6,39.1167,295.15,33,40,5.14,ET,1615480023
323,Konya Province,38.1667,32.5,276.15,81,75,11.83,TR,1615480024
324,Amahai,-3.3333,128.9167,300.01,80,97,0.82,ID,1615480026
325,Luganville,-15.5333,167.1667,298.89,85,85,3.52,VU,1615480027
326,Novyy Urgal,51.0736,132.5642,259.18,86,0,0.19,RU,1615480029
327,Wagar,16.1525,36.2032,308.06,18,0,6.44,SD,1615480030
328,Juba,4.8517,31.5825,308.22,22,73,1.34,SS,1615480032
329,Sitka,57.0531,-135.33,274.15,86,90,1.54,US,1615480033
330,Margate,51.3813,1.3862,280.93,71,84,4.47,GB,1615480035
331,Sinnamary,5.3833,-52.95,299.29,87,92,6.1,GF,1615480036
332,Deputatsky,69.3,139.9,249.82,97,100,1.55,RU,1615480038
333,Changli,39.7042,119.1506,279.86,77,0,1.17,CN,1615480039
334,Blagoyevo,63.3667,47.9167,259.58,85,25,3.35,RU,1615480041
335,Gönen,40.1049,27.654,280.37,65,75,12.35,TR,1615480042
336,Turbat,26.0023,63.044,295.13,60,0,1.99,PK,1615480043
337,Jumla,29.2747,82.1838,279.15,71,55,1.46,NP,1615480045
338,Richards Bay,-28.783,32.0377,298.56,81,65,6.24,ZA,1615480046
339,Boa Vista,2.8197,-60.6733,306.15,43,75,5.66,BR,1615480048
340,Plettenberg Bay,-34.0527,23.3716,292.41,79,47,6.2,ZA,1615479875
341,Leningradskiy,69.3833,178.4167,248.08,63,26,2.69,RU,1615480051
342,Camacha,33.0833,-16.3333,289.15,77,75,5.14,PT,1615480052
343,Birin,26.8865,88.0718,287.76,40,3,2.48,NP,1615480053
344,Mount Gambier,-37.8333,140.7667,284.15,100,90,1.71,AU,1615480055
345,Maragogi,-9.0122,-35.2225,302.78,64,91,5.04,BR,1615480057
346,Chipinge,-20.1883,32.6236,294.57,88,10,2.76,ZW,1615480058
347,Huaicheng,23.9051,112.1931,293.13,89,21,1.02,CN,1615480059
348,Manggar,-2.8833,108.2667,299.05,79,94,2.21,ID,1615480061
349,Severodvinsk,64.5635,39.8302,263.15,62,20,2.0,RU,1615480062
350,San Fernando del Valle de Catamarca,-28.4696,-65.7852,303.71,63,83,1.34,AR,1615480064
351,Gravdal,68.1214,13.5031,275.15,55,75,9.77,NO,1615480065
352,Maní,4.8172,-72.2886,306.21,31,74,5.68,CO,1615480067
353,Beloha,-25.1667,45.05,299.86,63,84,3.55,MG,1615480068
354,Fortuna,40.5982,-124.1573,278.71,100,1,4.12,US,1615480070
355,Impfondo,1.6381,18.0667,306.75,41,74,0.06,CG,1615480071
356,Chara,56.9064,118.2631,261.95,62,65,0.46,RU,1615480073
